,Company Name,description,Rating,Reviews
0,TCS,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +357 more,3.7,79.7k
1,Accenture,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,4.0,49.6k
2,Cognizant,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,3.9,44.9k
3,Wipro,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +284 more,3.8,44.7k
4,Capgemini,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,3.8,36.8k
5,HDFC Bank,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1582 more,3.9,35.7k
6,ICICI Bank,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1311 more,4.0,35.1k
7,Infosys,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,3.8,34.5k
8,HCLTech,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +194 more,3.6,31.7k
9,Tech Mahindra,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +275 more,3.7,29.3k
10,Genpact,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +120 more,3.9,27.7k
11,Teleperformance,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,3.9,24.9k
12,Axis Bank,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,3.8,23.1k
13,Concentrix Corporation,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,3.9,23k
14,Amazon,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,4.1,23k
15,Jio,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1187 more,3.9,20.9k
16,IBM,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,4.1,20.4k
17,Reliance Retail,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,3.9,20.2k
18,HDB Financial Services,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +975 more,4.0,18.6k
19,iEnergizer,BPO | 10k-50k Employees | 24 years old | Noida +31 more,4.7,18k
